Function Name,Total Self (ms),Avg Self (ms),Call Count,Top Location,Top Self (ms)
checkExistentEventTypes,79.806,39.903,2,../../../packages/features/ee/managed-event-types/lib/handleChildrenEventTypes.ts:199:38,79.770
ensureAvailableUsers,78.430,11.204,7,../../../packages/features/ee/round-robin/roundRobinReassignment.ts:126:31,39.852
describe,75.997,1.949,39,src/ee/bookings/2024-08-13/controllers/e2e/emails/team-emails.e2e-spec.ts:90:54,9.930
useQuery,75.074,1.597,47,../../../packages/features/embed/Embed.tsx:664:45,10.746
findFirstOrThrow,74.909,2.025,37,../../../packages/app-store/wipemycalother/lib/reschedule.ts:22:19,19.165
then,74.411,1.048,71,../../../packages/app-store/dailyvideo/lib/VideoApiAdapter.ts:194:29,8.112
createMany,74.327,2.323,32,../../../packages/features/ee/dsync/lib/users/createUsersAndConnectToOrg.ts:33:8,8.972
record,74.280,4.952,15,../../../packages/features/form-builder/schema.ts:186:18,11.666
list,71.728,11.955,6,../../../packages/trpc/server/routers/loggedInViewer/updateProfile.handler.ts:38:36,56.734
omit,68.354,4.557,15,../../../packages/features/ee/managed-event-types/lib/handleChildrenEventTypes.ts:122:33,22.744
Identifier: CSSObjectWithLabel,64.264,21.421,3,../../../packages/ui/components/form/select/Select.tsx:63:17,62.703
toLocaleLowerCase,62.022,20.674,3,../../../packages/features/ee/workflows/lib/reminders/emailReminderManager.ts:59:37,30.121
preventDefault,61.986,6.887,9,../../../packages/ui/components/form/inputs/Form.tsx:18:11,41.624
beforeAll,61.634,1.433,43,src/ee/bookings/2024-08-13/controllers/e2e/team-bookings.e2e-spec.ts:69:15,14.296
FirstPunctuation: any,61.587,1.540,40,../../../packages/platform/atoms/hooks/schedules/useSchedule.ts:25:9,7.330
reduce,61.095,1.153,53,../../../packages/trpc/server/routers/loggedInViewer/bookingUnconfirmedCount.handler.ts:32:9,12.855
nativeEnum,59.503,2.975,20,../../../packages/prisma/zod/attribute.ts:9:8,6.674
allSettled,59.472,3.130,19,../../../packages/trpc/server/routers/loggedInViewer/getUserTopBanners.handler.ts:50:12,17.833
language,58.929,0.921,64,../../../packages/emails/src/templates/VerifyEmailByCode.tsx:22:7,5.705
useMemo,58.815,1.590,37,../../../packages/platform/atoms/event-types/hooks/useTabsNavigations.tsx:72:33,9.560
flatMap,58.072,1.708,34,../../../packages/lib/event-types/getEventTypeById.ts:104:20,18.173
forEach,57.384,1.125,51,../../../packages/app-store/BookingPageTagManager.tsx:71:22,9.063
safeParse,55.527,2.314,24,../../../packages/trpc/server/routers/loggedInViewer/addNotificationsSubscription.handler.ts:20:51,12.248
updateMany,54.447,1.756,31,../../../packages/lib/bulkUpdateEventsToDefaultLocation.ts:46:44,5.855
beforeEach,53.094,8.849,6,src/modules/auth/guards/permissions/permissions.guard.spec.ts:18:12,28.522
enum,52.411,2.758,19,../../../packages/lib/event-types/transformers/internal-to-api/booking-fields.ts:326:12,13.382
useEffect,52.228,1.536,34,../../../packages/features/bookings/Booker/config.ts:172:28,34.977
useCallback,51.636,2.245,23,../../../packages/platform/atoms/cal-provider/BaseCalProvider.tsx:98:26,38.367
validator,50.131,1.474,34,../../../packages/lib/event-types/getEventTypeById.ts:32:32,10.625
getBookingFieldsWithSystemFields,49.350,7.050,7,../../../packages/features/eventtypes/lib/getPublicEvent.ts:274:21,19.151
toString,49.082,1.636,30,../../../packages/features/auth/lib/verifyEmail.ts:27:37,6.717
Identifier: { name: string; slug: str,48.395,4.033,12,../../../packages/trpc/server/routers/viewer/organizations/publish.handler.ts:67:6,47.418
superRefine,47.907,3.685,13,../../../packages/features/bookings/lib/getBookingResponsesSchema.ts:123:24,27.717
groupBy,47.808,2.988,16,../../../packages/trpc/server/routers/loggedInViewer/bookingUnconfirmedCount.handler.ts:21:8,10.312
Identifier: boolean,47.782,0.796,60,../../../packages/lib/server/repository/organization.ts:235:11,9.714
assign,47.072,3.923,12,../../../packages/lib/event-types/getEventTypeById.ts:201:44,33.497
replaceOccurrences,46.656,11.664,4,../../../packages/platform/atoms/cal-provider/BaseCalProvider.tsx:135:13,31.377
it,46.637,0.696,67,src/modules/auth/guards/billing/platform-plan.guard.spec.ts:35:27,7.650
getProfileFromEvent,45.155,45.155,1,../../../packages/features/eventtypes/lib/getPublicEvent.ts:485:13,45.155
FirstBinaryOperator: any,44.903,2.495,18,../../../packages/app-store/routing-forms/components/react-awesome-query-builder/config/uiConfig.tsx:64:11,7.700
zodResolver,44.414,11.103,4,../../../packages/features/bookings/Booker/components/hooks/useBookingForm.ts:82:14,33.731
middleware,44.151,4.415,10,../../../packages/trpc/server/middlewares/sessionMiddleware.ts:135:26,29.411
mutation,44.139,0.460,96,../../../packages/features/ee/users/server/trpc-router.ts:72:15,6.354
cn,43.425,3.102,14,../../../packages/platform/atoms/destination-calendar/DestinationCalendar.tsx:11:11,18.037
register,43.405,2.553,17,../../../packages/features/eventtypes/components/tabs/advanced/EventAdvancedTab.tsx:684:15,12.320
Identifier: GetUserAvailabilityInitia,42.840,14.280,3,../../../packages/core/getUserAvailability.ts:309:36,42.427
useForm,41.712,1.545,27,../../../packages/features/eventtypes/components/BulkEditDefaultForEventsModal.tsx:31:15,14.537
setAppData,41.153,2.286,18,../../../packages/app-store/insihts/components/EventTypeAppCardInterface.tsx:22:7,21.897
mutate,41.124,1.418,29,../../../packages/features/ee/teams/components/MemberInvitationModal.tsx:519:23,10.219
spyOn,40.600,2.030,20,src/modules/auth/guards/billing/platform-plan.guard.spec.ts:100:64,32.838
includes,39.165,1.306,30,../../../packages/trpc/server/routers/viewer/eventTypes/getEventTypesFromGroup.handler.ts:27:38,10.328
crmAppImportFn,37.053,12.351,3,../../../packages/app-store/_utils/getCrm.ts:25:23,36.687
Identifier: number,36.376,1.254,29,../../../packages/features/bookings/components/AvailableTimes.tsx:164:47,12.567
startOf,35.731,11.910,3,../../../packages/trpc/server/routers/loggedInViewer/outOfOffice.handler.ts:27:41,29.886
keyof,35.055,11.685,3,../../../packages/trpc/server/routers/viewer/apps/listLocal.handler.ts:72:21,34.478
Identifier: { owner: ({ name: string ,34.943,34.943,1,../../../packages/features/eventtypes/lib/getPublicEvent.ts:474:8,34.943
concat,34.615,1.573,22,../../../packages/features/ee/workflows/lib/reminders/reminderScheduler.ts:46:28,13.089
entries,34.360,1.494,23,../../../packages/trpc/server/routers/viewer/eventTypes/update.handler.ts:544:24,14.995
