Function Name,Self (ms),Duration (ms),Location
update,40.200,40.200,../../../packages/lib/server/repository/user.ts:565:13
findFirst,40.147,40.147,../../../packages/features/ee/managed-event-types/lib/handleChildrenEventTypes.ts:105:26
extend,40.014,62.483,../../../node_modules/@calcom/trpc/server/routers/viewer/eventTypes/types.ts:47:33
ensureAvailableUsers,39.852,212.807,../../../packages/features/ee/round-robin/roundRobinReassignment.ts:126:31
all,39.100,128.660,../../../packages/lib/server/getLuckyUser.ts:581:12
useCallback,38.367,38.367,../../../packages/platform/atoms/cal-provider/BaseCalProvider.tsx:98:26
map,38.166,66.338,../../../packages/lib/event-types/transformers/internal-to-api/booking-fields.ts:31:36
createElement,37.884,37.884,../../../packages/ui/components/list/List.tsx:123:15
findUniqueOrThrow,36.906,75.789,../../../packages/features/bookings/lib/handleNewBooking/getEventTypesFromDB.ts:19:12
crmAppImportFn,36.687,83.534,../../../packages/app-store/_utils/getCrm.ts:25:23
all,35.806,111.687,../../../packages/trpc/server/routers/viewer/slots/util.ts:1001:67
router,35.603,300.900,../../../packages/features/insights/server/trpc-router.ts:296:38
useEffect,34.977,34.977,../../../packages/features/bookings/Booker/config.ts:172:28
Identifier: { owner: ({ name: string ,34.943,78.793,../../../packages/features/eventtypes/lib/getPublicEvent.ts:474:8
keyof,34.478,34.478,../../../packages/trpc/server/routers/viewer/apps/listLocal.handler.ts:72:21
StringLiteral: (string | (string | null),34.281,36.481,../../../node_modules/tzdata/timezone-data.json:1:87964
zodResolver,33.731,33.731,../../../packages/features/bookings/Booker/components/hooks/useBookingForm.ts:82:14
assign,33.497,108.165,../../../packages/lib/event-types/getEventTypeById.ts:201:44
findFirst,33.030,92.606,../../../packages/trpc/server/routers/viewer/workflows/activateEventType.handler.ts:25:40
map,32.871,32.871,../../../packages/features/ee/managed-event-types/lib/handleChildrenEventTypes.ts:143:29
spyOn,32.838,32.847,src/modules/auth/guards/billing/platform-plan.guard.spec.ts:100:64
findUnique,32.821,38.880,../../../packages/app-store/routing-forms/trpc/formMutation.handler.ts:27:35
ensureAvailableUsers,32.716,33.581,../../../packages/trpc/server/routers/viewer/teams/roundRobin/getRoundRobinHostsToReasign.handler.ts:133:27
pick,32.682,32.682,../../../packages/trpc/server/routers/viewer/eventTypes/types.ts:76:11
pick,32.672,32.672,../../../packages/features/ee/managed-event-types/lib/handleChildrenEventTypes.ts:133:34
router,32.472,1383.500,../../../packages/trpc/server/routers/viewer/teams/_router.tsx:38:41
Identifier: any,32.006,32.006,../../../packages/emails/src/components/RawHtml.tsx:2:37
router,31.676,130.975,../../../packages/trpc/server/routers/viewer/teams/_router.tsx:38:41
replaceOccurrences,31.377,31.377,../../../packages/platform/atoms/cal-provider/BaseCalProvider.tsx:135:13
findMany,30.936,44.321,../../../packages/features/bookings/lib/handleSeats/create/createNewSeat.ts:158:49
toLocaleLowerCase,30.121,31.398,../../../packages/features/ee/workflows/lib/reminders/emailReminderManager.ts:59:37
router,30.034,332.661,../../../packages/trpc/server/routers/viewer/organizations/_router.tsx:34:49
startOf,29.886,108.955,../../../packages/trpc/server/routers/loggedInViewer/outOfOffice.handler.ts:27:41
extend,29.592,316.264,../../../packages/trpc/server/routers/viewer/eventTypes/types.ts:78:34
middleware,29.411,39.516,../../../packages/trpc/server/middlewares/sessionMiddleware.ts:135:26
all,28.951,28.951,../../../packages/trpc/server/routers/viewer/eventTypes/getTeamAndEventTypeOptions.handler.ts:56:56
create,28.716,48.743,../../../packages/lib/server/repository/eventType.ts:125:17
map,28.693,42.612,../../../packages/trpc/server/routers/viewer/bookings/get.handler.ts:407:23
pick,28.664,28.664,../../../packages/lib/server/queries/teams/index.ts:449:42
beforeEach,28.522,29.994,src/modules/auth/guards/permissions/permissions.guard.spec.ts:18:12
classNames,28.043,28.043,../../../packages/ui/components/skeleton/Skeleton.tsx:56:15
superRefine,27.717,34.107,../../../packages/features/bookings/lib/getBookingResponsesSchema.ts:123:24
createElement,27.669,27.669,../../../packages/ui/components/list/List.tsx:139:15
extend,27.409,37.438,../../../node_modules/@calcom/trpc/server/routers/viewer/eventTypes/types.ts:78:34
setValue,27.118,27.118,../../../packages/features/eventtypes/components/tabs/limits/EventLimitsTab.tsx:954:64
create,26.980,43.971,../../../packages/lib/server/repository/user.ts:597:12
findUniqueOrThrow,26.751,58.490,../../../packages/trpc/server/routers/viewer/bookings/confirm.handler.ts:43:30
all,26.749,26.749,../../../packages/core/getBusyTimes.ts:182:54
extend,26.444,26.444,../../../node_modules/@calcom/trpc/server/routers/viewer/eventTypes/types.ts:47:33
split,25.951,37.321,../../../packages/features/calendars/DestinationCalendarSelector.tsx:134:7
pick,25.595,25.595,../../../packages/features/ee/managed-event-types/lib/handleChildrenEventTypes.ts:121:38
update,25.551,25.551,../../../packages/features/ee/billing/teams/internal-team-billing.ts:98:12
router,24.860,202.233,../../../packages/trpc/server/routers/loggedInViewer/_router.tsx:75:44
defineExtension,24.782,24.782,../../../packages/prisma/extensions/disallow-undefined-delete-update-many.ts:30:18
extend,24.772,57.996,../../../packages/trpc/server/routers/viewer/eventTypes/types.ts:47:33
update,24.287,24.287,../../../packages/features/bookings/lib/handleNewBooking/createBooking.ts:177:12
update,24.122,24.122,../../../packages/trpc/server/routers/loggedInViewer/updateProfile.handler.ts:240:24
getSubLogger,23.845,35.614,../../../packages/features/ee/round-robin/roundRobinManualReassignment.ts:45:44
create,23.675,23.675,../../../packages/features/bookings/lib/handleNewBooking/createBooking.ts:180:26
extend,23.447,23.447,../../../packages/prisma/zod/credential.ts:39:77
getBookingData,23.442,148.670,../../../packages/features/bookings/lib/handleNewBooking.ts:375:28
editLocation,23.265,23.265,../../../packages/trpc/server/routers/viewer/bookings/_router.tsx:74:11
loggerLink,22.871,22.871,../../../packages/trpc/react/trpc.ts:72:15
object,22.871,36.173,../../../packages/trpc/server/routers/viewer/slots/types.ts:3:33
extend,22.781,22.781,../../../packages/prisma/zod/organizationsettings.ts:29:97
map,22.774,22.774,../../../packages/lib/server/repository/user.ts:164:11
update,22.750,22.750,src/modules/users/users.repository.ts:253:17
omit,22.744,22.744,../../../packages/features/ee/managed-event-types/lib/handleChildrenEventTypes.ts:122:33
querySelector,22.613,22.613,../../../packages/embeds/embed-core/embed-iframe-init.ts:61:28
split,22.477,26.420,../../../packages/platform/atoms/destination-calendar/DestinationCalendarSelector.tsx:89:7
all,22.468,65.762,../../../node_modules/@calcom/trpc/server/routers/viewer/slots/util.ts:1001:67
Identifier: any,22.329,22.329,../../../packages/emails/src/components/EmailHead.tsx:11:7
update,22.237,22.237,../../../packages/features/ee/managed-event-types/lib/handleChildrenEventTypes.ts:263:19
map,22.137,22.137,../../../packages/features/schedules/components/Schedule.tsx:277:8
setAppData,21.897,21.897,../../../packages/app-store/insihts/components/EventTypeAppCardInterface.tsx:22:7
$transaction,21.854,56.613,../../../packages/features/credentials/handleDeleteCredential.ts:190:35
toUpperCase,21.741,21.741,../../../packages/features/eventtypes/components/tabs/apps/EventAppsTab.tsx:91:7
Identifier: { children: ReactNode; },21.503,21.503,../../../packages/emails/src/components/BaseEmailHtml.tsx:15:5
map,21.485,36.560,../../../packages/lib/event-types/transformers/internal-to-api/booking-fields.ts:31:36
router,21.235,265.777,../../../packages/trpc/server/routers/viewer/organizations/_router.tsx:34:49
getTranslation,21.230,21.230,../../../packages/platform/atoms/cal-provider/BaseCalProvider.tsx:98:74
getAllColumns,21.181,21.181,../../../packages/features/data-table/hooks/useFilterableColumns.ts:13:10
lazy,21.173,215.230,../../../packages/prisma/zod/user.ts:114:13
calculateHostsAndAvailabilities,21.146,21.146,../../../packages/trpc/server/routers/viewer/slots/util.ts:393:55
Identifier: StateManagedSelect,21.077,21.077,../../../packages/ui/form/Select.tsx:71:11
all,20.956,20.956,../../../packages/trpc/server/routers/viewer/organizations/getFacetedValues.handler.ts:22:36
omit,20.798,20.893,../../../packages/lib/server/queries/teams/index.ts:444:41
merge,20.730,53.299,../../../packages/features/bookings/lib/getBookingDataSchemaForApi.ts:19:9
pick,20.684,20.684,../../../packages/lib/server/queries/teams/index.ts:436:38
router,20.648,52.681,../../../packages/trpc/server/routers/publicViewer/_router.tsx:18:42
classNames,20.497,20.497,../../../packages/ui/components/form/inputs/Label.tsx:5:11
map,20.426,534.957,../../../packages/lib/server/queries/teams/index.ts:441:32
classNames,20.370,21.339,../../../packages/ui/components/avatar/UserAvatar.tsx:44:11
all,20.298,50.695,../../../packages/features/insights/server/trpc-router.ts:348:14
findUnique,20.268,55.846,../../../packages/trpc/server/routers/viewer/slots/util.ts:324:32
Identifier: any,20.219,20.219,../../../packages/ui/components/divider/Divider.tsx:10:11
map,20.213,20.213,../../../packages/ui/components/avatar/AvatarGroup.tsx:32:45
map,20.201,20.201,../../../packages/ui/components/form/step/Stepper.tsx:26:11
all,20.186,31.539,../../../packages/features/insights/server/routing-events.ts:343:46
extend,20.110,20.110,../../../packages/prisma/zod/webhook.ts:38:71
extend,20.100,20.100,../../../packages/prisma/zod/app_routingforms_form.ts:40:99
