Function Name,Self (ms),Duration (ms),Location
forwardRef,10.207,10.207,../../packages/ui/src/components/ui/dialog.tsx:17:22
createInsertSchema,10.120,10.120,../../packages/db/src/schema/organizations/organization.ts:14:40
createInsertSchema,10.084,10.084,../../packages/db/src/schema/users/user.ts:16:32
mutation,10.067,10.144,../../packages/api/src/router/formField.ts:18:15
Identifier: { name: string; overview:,9.998,9.998,src/app/api/ai/generateForm/route.ts:68:10
Identifier: any,9.910,9.910,src/components/common/emptyCard.tsx:41:17
object,9.805,9.805,src/app/api/webhook/websocket/route.ts:11:25
useMutation,9.585,9.585,src/app/(protectedPage)/forms/[formId]/_components/formEditor/fieldsEditorCard/editFieldItem.tsx:54:33
clerkMiddleware,9.551,9.551,src/middleware.ts:16:32
input,9.368,9.368,../../packages/api/src/router/formDesign.ts:40:10
forwardRef,9.353,9.353,../../packages/ui/src/components/ui/dropdown-menu.tsx:46:38
pick,9.305,9.305,../../packages/api/src/router/formDesign.ts:54:12
input,9.275,9.275,../../packages/api/src/router/conversation.ts:62:10
useQuery,9.227,9.227,src/components/formViewer/formDesignContext.tsx:39:64
Identifier: any,9.225,9.225,src/app/(protectedPage)/(mainPage)/workspaces/[workspaceId]/_component/generateFormModal.tsx:163:21
Identifier: any,9.085,9.085,src/app/(protectedPage)/forms/[formId]/_components/formEditor/fieldsEditorCard/index.tsx:196:7
input,9.082,9.082,../../packages/api/src/router/conversation.ts:98:10
init,9.038,12.855,sentry.client.config.ts:18:16
forwardRef,9.016,10.498,../../packages/ui/src/components/ui/card.tsx:36:38
extend,8.866,8.866,../../packages/db/src/schema/forms/validation.ts:26:32
pick,8.866,8.866,../../packages/db/src/schema/conversations/validation.ts:72:40
input,8.824,8.824,../../packages/api/src/router/workspace.ts:88:9
createTRPCRouter,8.545,25.207,../../packages/api/src/router/formDesign.ts:15:50
pgTable,8.497,48.443,../../packages/db/src/schema/forms/form.ts:9:20
input,8.457,8.457,../../packages/api/src/router/formDesign.ts:40:10
mutation,8.445,20.543,../../packages/api/src/router/form.ts:126:13
createTRPCRouter,8.347,116.037,../../packages/api/src/router/conversation.ts:17:52
map,8.242,8.242,src/app/(protectedPage)/(mainPage)/_components/mainNavigation/mainNavigation.tsx:13:11
Identifier: any,8.220,8.220,src/app/(protectedPage)/(mainPage)/layout.tsx:11:11
forwardRef,8.212,8.212,../../packages/ui/src/components/ui/dialog.tsx:32:22
mutation,8.130,8.264,../../packages/api/src/router/formField.ts:134:15
mutation,8.036,10.970,../../packages/api/src/router/form.ts:33:15
createInsertSchema,8.029,8.029,../../packages/db/src/schema/organizationMembers/organizationMember.ts:15:46
createClient,8.001,11.121,src/trpc/react.tsx:45:13
Identifier: string | undefined,7.923,7.923,src/components/formViewer/askScreen.tsx:48:24
extend,7.922,7.922,../../packages/db/src/schema/forms/validation.ts:43:40
"Identifier: ""/dashboard""",7.906,7.906,src/app/(protectedPage)/(mainPage)/_components/navigationCardContent.tsx:124:28
object,7.878,13.989,../../packages/db/src/schema/formFields/validation.ts:45:6
matchMedia,7.830,7.830,src/hooks/use-media-query.ts:10:27
pick,7.821,7.821,src/app/(protectedPage)/forms/[formId]/_components/formDesignEditor/basicDesignCard.tsx:35:23
createInsertSchema,7.808,7.808,../../packages/db/src/schema/forms/validation.ts:7:32
forwardRef,7.779,7.779,../../packages/ui/src/components/ui/progress.tsx:7:17
forwardRef,7.738,7.738,../../packages/ui/src/components/ui/table.tsx:70:38
createTRPCRouter,7.737,14.750,../../packages/api/src/router/webhook.ts:16:29
Identifier: ForwardRefExoticComponent,7.718,7.718,../../node_modules/.pnpm/@clerk+nextjs@6.10.2_next@15.1.6_react-dom@19.0.0_react@19.0.0/node_modules/@clerk/nextjs/dist/types/server/routeMatcher.d.ts:5:42
map,7.669,7.669,src/app/(protectedPage)/(mainPage)/dashboard/_components/recentResponseCard.tsx:43:51
Identifier: <TFieldValues extends Fie,7.606,7.606,src/app/(protectedPage)/forms/[formId]/_components/formEditor/formEditorCard.tsx:194:17
input,7.574,7.574,../../packages/api/src/router/formField.ts:105:19
map,7.534,7.534,../../packages/ui/src/components/ui/use-toast.ts:84:37
forwardRef,7.496,7.496,../../packages/ui/src/components/ui/card.tsx:8:47
createTRPCRouter,7.467,33.323,../../packages/api/src/router/formDesign.ts:15:50
useAnimate,7.427,7.427,src/components/formViewer/welcomeScreen.tsx:28:27
insert,7.418,8.722,../../packages/api/src/router/form.ts:85:36
omit,7.244,7.244,../../packages/db/src/schema/forms/validation.ts:20:29
require,7.232,20.670,../../packages/tailwind-config/src/tailwind.config.ts:4:6
partial,7.188,7.188,../../packages/db/src/schema/forms/validation.ts:31:31
pick,7.184,7.637,src/app/api/form/[formId]/conversation/route.ts:27:29
query,7.164,12.449,../../packages/api/src/router/form.ts:214:13
forwardRef,7.156,11.315,../../packages/ui/src/components/ui/toast.tsx:41:14
forwardRef,7.149,7.149,../../packages/ui/src/components/ui/checkbox.tsx:9:17
useMutation,7.113,32.267,src/app/(protectedPage)/(mainPage)/workspaces/[workspaceId]/_component/pageHeader.tsx:29:31
union,7.105,67.023,../../packages/db/src/schema/formFields/validation.ts:35:40
forwardRef,6.931,6.931,../../packages/ui/src/components/ui/alert.tsx:50:38
findMany,6.897,18.819,../../packages/api/src/router/conversation.ts:187:19
useQuery,6.895,6.895,src/components/conversationsStats.tsx:18:54
cn,6.879,6.879,src/components/common/spinner.tsx:21:7
handleSubmit,6.817,6.817,src/app/(protectedPage)/forms/[formId]/_components/formEditor/formEditorCard.tsx:164:7
forwardRef,6.625,6.640,../../packages/ui/src/components/ui/accordion.tsx:28:5
forwardRef,6.545,11.848,../../packages/ui/src/components/ui/dialog.tsx:38:5
Identifier: any,6.487,6.487,src/app/(protectedPage)/(mainPage)/dashboard/page.tsx:17:7
forwardRef,6.480,6.480,../../packages/ui/src/components/ui/label.tsx:13:14
forwardRef,6.472,6.472,../../packages/ui/src/components/ui/dropdown-menu.tsx:146:45
object,6.425,11.541,../../packages/db/src/schema/formFields/validation.ts:39:6
zodResolver,6.331,6.331,src/app/(protectedPage)/forms/[formId]/_components/formEditor/customizeEndScreenCard.tsx:80:14
Identifier: string,6.291,6.291,src/components/common/confirmAction.tsx:32:9
forwardRef,6.285,6.285,../../packages/ui/src/components/ui/table.tsx:8:38
input,6.239,6.239,../../packages/api/src/router/conversation.ts:300:9
useQuery,6.225,6.225,src/app/(protectedPage)/(mainPage)/dashboard/_components/recentResponseCard.tsx:16:8
input,6.145,6.145,../../packages/api/src/router/conversation.ts:177:22
createTRPCRouter,6.071,11.627,../../packages/api/src/router/formField.ts:14:49
createTRPCRouter,6.034,7.014,../../packages/api/src/router/webhook.ts:16:47
findFirst,6.012,6.012,../../packages/api/src/router/conversation.ts:69:38
Identifier: any,5.984,5.984,src/components/common/statsCard.tsx:28:7
useMutation,5.915,7.838,src/app/(protectedPage)/(mainPage)/_components/navigationCardContent.tsx:30:26
createTRPCRouter,5.841,14.923,../../packages/api/src/router/workspace.ts:13:49
"Identifier: (<Props, TagName extends ",5.827,12.202,src/components/common/typingEffect.tsx:53:11
map,5.814,5.814,src/app/(protectedPage)/(mainPage)/dashboard/_components/recentResponseCard.tsx:38:19
useMutation,5.809,5.809,src/app/(protectedPage)/(mainPage)/workspaces/[workspaceId]/_component/pageHeader.tsx:34:26
forwardRef,5.797,6.683,../../packages/ui/src/components/ui/dropdown-menu.tsx:59:28
createSelectSchema,5.747,5.747,../../packages/db/src/schema/conversations/validation.ts:37:40
pick,5.726,8.971,../../packages/db/src/schema/conversations/validation.ts:72:40
