Function Name,Total Self (ms),Avg Self (ms),Call Count,Top Location,Top Self (ms)
Identifier: ForwardRefExoticComponent,9.780,9.780,1,src/app/dashboard/[serverId]/components/home.tsx:237:9,9.780
require,9.587,2.397,4,tailwind.config.cjs:4:17,3.517
"Identifier: ({ children, client, apiK",9.318,9.318,1,../../packages/ui/src/hooks/client.tsx:45:8,9.318
toDateString,8.900,1.780,5,src/app/dashboard/[serverId]/components/home.tsx:47:27,8.544
protectedMutationFetchFirst,8.758,1.752,5,../../packages/api/src/router/channel.ts:126:10,3.404
createUserServerSettings,8.553,4.276,2,../../packages/core/src/user-server-settings.ts:244:36,7.470
useEffect,8.397,1.399,6,../../packages/ui/src/hooks/client.tsx:26:13,6.489
onValueChange,8.305,2.768,3,../../packages/ui/src/ui/date-picker.tsx:54:5,4.879
decode,8.261,2.065,4,../../packages/core/src/db.ts:26:7,5.776
"Identifier: ""single""",7.977,7.977,1,../../packages/ui/src/pricing.tsx:113:12,7.977
getPosthogQueryClientForDashboard,7.935,0.794,10,../../packages/core/src/analytics.ts:136:9,2.268
upsert,7.838,0.980,8,../../packages/core/src/user-server-settings.ts:236:8,4.476
protectedFetchWithPublicData,7.497,2.499,3,../../packages/api/src/router/discord-accounts.ts:33:10,7.084
trackEvent,7.268,1.817,4,src/app/dashboard/[serverId]/components/home.tsx:337:72,2.815
applyChannelSettingsChangesSideEffects,7.152,3.576,2,../../packages/core/src/channel.ts:251:22,6.997
number,6.833,6.833,1,../../packages/core/src/zodSchemas/channelSchemas.ts:51:7,6.833
Identifier: typeof Elastic,6.693,3.346,2,../../packages/core/src/search.ts:239:9,4.913
Identifier: ComponentType<{ user: { i,6.663,6.663,1,../../packages/ui/src/navbar/client.tsx:26:8,6.663
Identifier: CreateTRPCReactBase<Creat,6.662,6.662,1,../../packages/ui/src/layouts/trpc-provider.tsx:51:10,6.662
find,6.651,0.665,10,../../packages/core/src/permissions.ts:16:41,1.907
updateServer,6.586,6.586,1,../../packages/api/src/router/server.ts:111:12,6.586
from,6.495,3.248,2,../../packages/core/src/discord-account.ts:95:20,6.189
Identifier: ForwardRefExoticComponent,6.464,3.232,2,src/app/dashboard/[serverId]/layout.tsx:113:8,5.436
parse,6.327,0.703,9,../../packages/core/src/auth.ts:717:11,2.573
Identifier: { tenant: { description: ,6.302,6.302,1,../../packages/ui/src/footer.tsx:170:10,6.302
inArray,6.204,2.068,3,../../packages/core/src/server.ts:128:11,5.230
sort,5.669,1.134,5,../../packages/api/src/router/auth.ts:63:38,4.026
DiscordProvider,5.295,2.647,2,../../packages/core/src/auth.ts:401:15,5.101
context,5.161,1.032,5,../../packages/api/src/bot/index.ts:13:10,3.351
Identifier: CustomMappingProperty<{ t,5.034,5.034,1,../../packages/core/src/search.ts:92:6,5.034
Identifier: CustomMappingProperty<{ n,4.900,4.900,1,../../packages/core/src/search.ts:51:6,4.900
"Identifier: Omit<T, ""flags"">",4.898,4.898,1,../../packages/core/src/server.ts:27:7,4.898
Identifier: ForwardRefExoticComponent,4.721,2.361,2,src/app/dashboard/[serverId]/components/home.tsx:355:7,2.725
lt,4.627,4.627,1,../../packages/core/src/channel.ts:356:45,4.627
Identifier: { header: [string]; body:,4.362,4.362,1,../../packages/ui/tailwind.config.cjs:16:10,4.362
planToPrettyText,4.331,4.331,1,src/app/dashboard/[serverId]/settings/components.tsx:83:5,4.331
protectedMutation,4.325,0.721,6,../../packages/api/src/router/channel.ts:56:27,2.499
cva,4.295,0.477,9,../../packages/ui/src/ui/button.tsx:9:265,1.480
Identifier: ({ bitfield: number; serv,4.178,1.393,3,../../packages/core/src/message.ts:107:5,4.046
constructEvent,4.175,1.392,3,src/pages/api/v1/stripe/webhook.ts:57:16,3.718
Identifier: () => void,4.155,4.155,1,src/app/dashboard/[serverId]/integrations/page.tsx:32:5,4.155
Identifier: ForwardRefExoticComponent,4.117,4.117,1,../../packages/ui/src/ui/date-picker.tsx:56:7,4.117
usePathname,3.875,1.937,2,../../packages/ui/src/ui/link-button.tsx:17:26,3.605
Identifier: boolean,3.816,0.636,6,src/app/dashboard/[serverId]/settings/components.tsx:66:27,2.854
Identifier: F,3.772,3.772,1,../../packages/core/src/channel.ts:46:23,3.772
upsertUserServerSettingsWithDeps,3.757,3.757,1,../../packages/api/src/router/user-server-settings.ts:112:12,3.757
string,3.726,0.745,5,../../packages/env/src/shared.ts:59:23,1.515
Identifier: { children?: ReactNode; },3.597,1.199,3,src/app/layout.tsx:16:8,1.948
dynamic,3.473,1.158,3,../../packages/ui/src/navbar/client.tsx:5:32,3.065
getNextAuthSession,3.470,1.735,2,../../packages/core/src/auth.ts:516:24,3.302
Identifier: ForwardRefExoticComponent,3.421,3.421,1,../../packages/ui/src/ui/command.tsx:31:5,3.421
"Identifier: ""exact""",3.409,3.409,1,../../packages/core/src/analytics.ts:20:12,3.409
FirstBinaryOperator: any,3.390,1.130,3,src/app/dashboard/[serverId]/settings/page.tsx:97:6,1.456
Identifier: ForwardRefExoticComponent,3.356,3.356,1,src/app/dashboard/[serverId]/channels/page.tsx:123:7,3.356
"Identifier: Context<{ currentPlan: ""F",3.295,3.295,1,src/app/dashboard/[serverId]/components/tier-access-only.tsx:28:10,3.295
setTheme,3.234,0.809,4,../../packages/ui/src/navbar/change-theme-item.tsx:10:10,1.913
Identifier: ForwardRefExoticComponent,3.200,3.200,1,src/app/dashboard/[serverId]/channels/page.tsx:384:6,3.200
get,3.199,0.246,13,../../packages/core/src/auth.ts:712:27,2.071
useUtils,3.183,0.796,4,src/app/dashboard/[serverId]/channels/page.tsx:210:7,2.963
setRange,3.165,3.165,1,src/app/dashboard/[serverId]/client.tsx:17:10,3.165
Identifier: IconType,3.164,3.164,1,src/app/dashboard/[serverId]/components/home.tsx:220:4,3.164
mutateServer,3.152,1.051,3,../../packages/api/src/router/server.ts:107:10,2.234
reduce,3.053,0.763,4,src/app/dashboard/[serverId]/components/home.tsx:43:8,1.421
toDict,3.053,1.527,2,../../packages/core/src/utils/bitfieldUtils.ts:32:8,2.888
eq,2.896,0.965,3,../../packages/core/src/user-server-settings.ts:267:9,1.658
Identifier: ForwardRefExoticComponent,2.769,2.769,1,../../packages/ui/src/ui/link.tsx:5:46,2.769
Identifier: ForwardRefExoticComponent,2.767,2.767,1,src/app/dashboard/[serverId]/channels/page.tsx:319:7,2.767
createPlanCheckoutSession,2.756,2.756,1,../../packages/core/src/stripe.ts:54:9,2.756
anonymous,2.751,1.375,2,../../packages/ui/src/navbar/sign-in-button.tsx:51:9,2.316
set,2.658,0.886,3,../../packages/core/src/server.ts:221:28,2.245
next,2.636,0.329,8,../../packages/api/src/router/trpc.ts:46:8,0.833
and,2.507,0.627,4,../../packages/core/src/user-server-settings.ts:160:9,1.726
addFlagsToServer,2.372,0.296,8,../../packages/core/src/message.ts:612:37,0.416
mutateAsync,2.337,0.779,3,src/app/dashboard/[serverId]/components/domain.tsx:283:11,1.139
createProPlanCheckoutSession,2.270,2.270,1,../../packages/api/src/router/dashboard.ts:173:75,2.270
pipe,2.220,0.370,6,../../packages/env/src/shared.ts:87:13,0.502
createContextInner,2.181,0.727,3,../../packages/api/src/router/context.ts:52:34,1.593
