Function Name,Self (ms),Duration (ms),Location
forwardRef,15.253,15.253,../../packages/ui/src/ui/select.tsx:74:3
forwardRef,15.229,15.229,../../packages/ui/src/ui/popover.tsx:11:23
forwardRef,15.118,16.361,../../packages/ui/src/ui/tabs.tsx:9:17
createEnv,14.832,14.832,../../packages/env/src/web-schema.mjs:10:28
many,14.791,26.448,../../packages/core/src/schema.ts:363:11
forwardRef,14.693,14.693,../../packages/ui/src/ui/select.tsx:27:3
all,14.642,14.642,../../packages/core/src/search.ts:420:36
pick,14.612,196.440,../../packages/api/src/router/user-server-settings.ts:128:10
forwardRef,14.535,14.732,../../packages/ui/src/ui/avatar.tsx:27:20
primaryKey,13.999,13.999,../../packages/core/src/schema.ts:49:11
relations,13.833,15.988,../../packages/core/src/schema.ts:534:75
forwardRef,13.656,13.656,../../packages/ui/src/ui/textarea.tsx:11:11
Identifier: LucideIcon,13.577,13.577,../../packages/ui/src/ui/calendar.tsx:56:34
createInsertSchema,13.222,13.222,../../packages/core/src/schema.ts:223:40
object,13.118,24.416,../../packages/api/src/router/channel.ts:118:10
mysqlTable,12.962,12.962,../../packages/core/src/schema.ts:64:26
forwardRef,12.934,12.934,../../packages/ui/src/ui/dropdown-menu.tsx:58:28
twMerge,12.868,12.868,../../packages/ui/src/ui/heading.tsx:75:10
Identifier: any,12.713,14.261,../../packages/ui/src/footer.tsx:145:3
forwardRef,12.671,14.884,../../packages/ui/src/ui/dropdown-menu.tsx:20:31
upsertMany,12.606,12.606,../../packages/core/src/discord-account.ts:141:8
cn,12.588,14.865,../../packages/ui/src/discord-avatar.tsx:28:4
findMany,12.544,12.544,../../packages/core/src/pages.ts:191:20
forwardRef,12.404,12.404,../../packages/ui/src/ui/table.tsx:11:3
map,12.069,12.069,../../packages/core/src/discord-account.ts:49:67
createTRPCProxyClient,11.973,11.973,../../packages/api/src/bot/caller.ts:5:25
forwardRef,11.940,16.352,../../packages/ui/src/ui/accordion.tsx:22:25
findFirst,11.818,19.853,../../packages/core/src/server.ts:124:51
router,11.731,299.250,../../packages/api/src/router/server.ts:72:36
forwardRef,11.623,18.181,../../packages/ui/src/ui/sheet.tsx:104:19
createInsertSchema,11.466,11.466,../../packages/core/src/schema.ts:388:32
map,11.382,11.382,../../packages/ui/src/pricing.tsx:161:6
createInvite,11.360,11.360,../../packages/api/src/bot/index.ts:89:24
forwardRef,11.334,11.334,../../packages/ui/src/ui/dropdown-menu.tsx:118:30
deepPartial,11.298,11.298,../../packages/api/src/router/channel.ts:123:12
updateDiscordAccount,10.858,10.858,../../packages/core/src/discord-account.ts:134:16
filter,10.813,10.813,../../packages/core/src/channel.ts:335:23
mysqlTable,10.773,13.096,../../packages/core/src/schema.ts:366:29
object,10.739,24.887,../../packages/core/src/search.ts:154:34
protectedFetchManyWithPublicData,10.730,17.121,../../packages/api/src/router/discord-accounts.ts:43:10
forwardRef,10.720,10.720,../../packages/ui/src/ui/table.tsx:103:38
forwardRef,10.697,10.697,../../packages/ui/src/ui/switch.tsx:7:15
forwardRef,10.694,10.694,../../packages/ui/src/ui/dropdown-menu.tsx:63:3
Identifier: any,10.607,10.607,src/app/dashboard/[serverId]/components/domain.tsx:48:4
forwardRef,10.577,10.577,../../packages/ui/src/ui/sheet.tsx:67:4
forwardRef,10.553,10.553,../../packages/ui/src/ui/table.tsx:23:38
fetchRequestHandler,10.541,12.372,src/app/api/trpc/[trpc]/route.ts:4:34
forwardRef,10.503,11.689,../../packages/ui/src/ui/table.tsx:88:38
array,10.477,10.477,../../packages/core/src/search.ts:164:14
map,10.460,16.044,../../packages/core/src/discord-account.ts:103:21
any,10.441,10.441,../../packages/core/src/search.ts:122:13
deepPartial,10.399,10.399,../../packages/api/src/router/server.ts:97:12
twMerge,10.385,13.565,../../packages/ui/src/ui/heading.tsx:27:10
customType,10.240,10.240,../../packages/core/src/schema.ts:26:18
forwardRef,10.149,10.149,../../packages/ui/src/ui/table.tsx:58:38
one,10.116,10.116,../../packages/core/src/schema.ts:101:17
map,10.100,10.100,../../packages/ui/src/pricing.tsx:162:48
Identifier: any,10.095,10.095,../../packages/ui/src/layouts/root.tsx:61:4
Identifier: any,9.983,9.983,../../packages/ui/src/ui/date-picker.tsx:49:10
one,9.975,23.938,../../packages/core/src/schema.ts:155:10
findMany,9.950,9.950,../../packages/core/src/server.ts:75:15
use,9.896,14.982,../../packages/api/src/router/trpc.ts:101:40
Identifier: ServerIconProps,9.875,9.875,../../packages/ui/src/server-icon.tsx:22:10
relations,9.866,24.110,../../packages/core/src/schema.ts:306:32
Identifier: ForwardRefExoticComponent,9.780,9.780,src/app/dashboard/[serverId]/components/home.tsx:237:9
forwardRef,9.675,9.675,../../packages/ui/src/ui/command.tsx:39:21
findChannelById,9.655,9.655,../../packages/api/src/router/channel.ts:128:29
omit,9.516,9.516,../../packages/core/src/zodSchemas/serverSchemas.ts:26:30
findFirst,9.499,9.499,../../packages/core/src/user-server-settings.ts:187:24
"Identifier: ({ children, client, apiK",9.318,9.318,../../packages/ui/src/hooks/client.tsx:45:8
cn,9.269,9.269,../../packages/ui/src/ui/command.tsx:132:10
forwardRef,9.265,9.265,../../packages/ui/src/ui/accordion.tsx:25:48
values,9.232,51.291,../../packages/core/src/auth.ts:171:14
router,9.184,38.017,../../packages/api/src/router/user-server-settings.ts:78:45
query,9.176,9.176,../../packages/api/src/bot/index.ts:32:10
pick,9.144,9.144,../../packages/api/src/router/user-server-settings.ts:162:10
map,9.065,15.407,../../packages/core/src/discord-account.ts:70:8
omit,8.993,9.316,../../packages/core/src/zodSchemas/userServerSettingsSchemas.ts:24:42
applyServerSettingsSideEffects,8.916,8.916,../../packages/core/src/server.ts:59:28
forwardRef,8.882,8.882,../../packages/ui/src/ui/dropdown-menu.tsx:94:33
forwardRef,8.841,8.948,../../packages/ui/src/ui/sheet.tsx:61:3
map,8.736,16.955,../../packages/ui/src/pricing.tsx:112:8
forwardRef,8.732,8.732,../../packages/ui/src/ui/dropdown-menu.tsx:76:25
router,8.687,1280.050,../../packages/api/src/router/index.ts:10:25
forwardRef,8.636,8.636,../../packages/ui/src/ui/command.tsx:10:16
findFirst,8.578,8.578,../../packages/core/src/server.ts:177:21
forwardRef,8.554,8.554,../../packages/ui/src/ui/label.tsx:16:38
toDateString,8.544,8.544,src/app/dashboard/[serverId]/components/home.tsx:47:27
forwardRef,8.514,8.514,../../packages/ui/src/ui/dropdown-menu.tsx:45:38
select,8.487,8.590,../../packages/core/src/channel.ts:148:8
map,8.428,8.428,src/app/dashboard/[serverId]/layout.tsx:90:7
forwardRef,8.409,9.562,../../packages/ui/src/ui/tabs.tsx:39:20
findMany,8.380,13.733,../../packages/core/src/message.ts:278:8
Identifier: any,8.351,8.351,src/app/dashboard/[serverId]/integrations/page.tsx:11:4
forwardRef,8.348,8.348,../../packages/ui/src/ui/accordion.tsx:42:25
mysqlTable,8.348,21.560,../../packages/core/src/schema.ts:39:9
