Function Name,Total Self (ms),Avg Self (ms),Call Count,Top Location,Top Self (ms)
Identifier: CalendarEvent,10.816,0.901,12,../../packages/features/bookings/lib/handleNewBooking.ts:1975:26,8.095
Identifier: <TFieldValues extends Fie,10.799,10.799,1,../../packages/features/schedules/components/Schedule.tsx:185:9,10.799
sendEmail,10.793,1.349,8,../../packages/emails/email-manager.ts:451:15,4.810
calculateHostsAndAvailabilities,10.789,1.541,7,../../packages/trpc/server/routers/viewer/slots/util.ts:358:75,5.959
Identifier: number | null,10.771,1.346,8,../../packages/app-store/routing-forms/trpc/formMutation.handler.ts:359:11,8.307
Identifier: (props: BadgeProps) => De,10.704,1.189,9,../../packages/features/eventtypes/components/EventTypeDescription.tsx:72:16,5.963
setLocation,10.573,10.573,1,../../packages/app-store/weather_in_your_calendar/components/AppSettingsInterface.tsx:17:11,10.573
getAppData,10.557,5.278,2,../../packages/app-store/stripepayment/components/EventTypeAppSettingsInterface.tsx:159:31,7.699
checkIfItFallbackImage,10.544,5.272,2,../../packages/ui/components/image-uploader/BannerUploader.tsx:154:9,8.948
getQueueAndAttributeWeightData,10.375,3.458,3,../../packages/lib/server/getLuckyUser.ts:911:49,10.076
Identifier: ForwardRefExoticComponent,10.289,3.430,3,../../packages/app-store/routing-forms/components/SingleForm.tsx:78:9,7.764
getSchedule,10.206,1.021,10,../../packages/trpc/server/routers/viewer/slots/_router.tsx:30:11,8.181
fetchMoreOnBottomReached,10.200,10.200,1,../../packages/features/data-table/components/DataTableWrapper.tsx:82:11,10.200
date,10.171,1.695,6,../../packages/features/calendars/DatePicker.tsx:78:11,6.915
Identifier: null,10.121,1.687,6,../../packages/app-store/getNormalizedAppMetadata.ts:17:19,7.637
ensureNoServiceAccountKey,10.115,1.445,7,../../packages/trpc/server/routers/viewer/domainWideDelegation/list.handler.ts:29:11,8.689
createCachedImport,10.090,3.363,3,../../packages/app-store/index.ts:1:17,9.737
markdownToSafeHTML,10.062,2.515,4,components/team/screens/Team.tsx:33:7,3.347
importHandler,10.019,0.626,16,../../packages/trpc/server/routers/viewer/dsync/_router.tsx:20:26,1.141
Identifier: string | string[],9.917,1.983,5,../../packages/features/form-builder/useShouldBeDisabledDueToPrefill.tsx:35:13,9.221
renderFooter,9.896,9.896,1,components/dialog/RerouteDialog.tsx:805:11,9.896
checkIfTeamPaymentRequired,9.892,2.473,4,../../packages/features/ee/billing/teams/internal-team-billing.ts:61:26,8.388
getDefaultEvent,9.771,3.257,3,lib/reschedule/[uid]/getServerSideProps.ts:122:20,7.068
findTeamMembersMatchingAttributeLogic,9.696,1.077,9,../../packages/trpc/server/routers/viewer/attributes/findTeamMembersMatchingAttributeLogic.handler.ts:34:12,6.496
handleConfirmation,9.678,4.839,2,../../packages/lib/payment/handlePaymentSuccess.ts:72:12,9.630
Identifier: { id?: number | undefined,9.595,9.595,1,../../packages/platform/atoms/event-types/hooks/useEventTypeForm.ts:338:20,9.595
renderEmail,9.591,0.799,12,../../packages/emails/templates/organizer-add-guests-email.ts:25:18,3.489
Identifier: TokenStatus,9.585,4.793,2,../../packages/app-store/_utils/oauth/OAuthManager.ts:330:26,9.070
Identifier: (props: { children: React,9.554,4.777,2,../../packages/platform/atoms/selected-calendars/wrappers/SelectedCalendarsSettingsWebWrapper.tsx:163:7,7.142
"Identifier: Record<""number"" | ""boolea",9.549,3.183,3,../../packages/features/form-builder/fieldTypes.ts:6:6,9.353
Component,9.417,3.139,3,../../packages/emails/src/renderEmail.ts:12:41,4.782
indexOf,9.407,0.724,13,../../packages/platform/atoms/availability/AvailabilitySettings.tsx:560:52,5.229
setIsTestPreviewOpen,9.407,9.407,1,../../packages/app-store/routing-forms/components/SingleForm.tsx:657:9,9.407
Identifier: PrefillAndIframeAttrsConf,9.395,2.349,4,../../packages/embeds/embed-core/src/embed.ts:694:9,8.737
replaceAll,9.345,4.672,2,../../packages/emails/src/components/Info.tsx:21:13,6.950
createTRPCNext,9.339,1.556,6,../../packages/trpc/react/trpc.ts:72:13,5.217
getEnabledAppsFromCredentials,9.323,1.865,5,../../packages/lib/getConnectedApps.ts:116:28,7.636
Identifier: { data: JsonValue; attend,9.313,4.656,2,../../packages/features/bookings/lib/get-booking.ts:173:22,9.002
useAppContextWithSchema,9.280,0.844,11,../../packages/app-store/giphy/components/EventTypeAppCardInterface.tsx:11:47,3.351
onCropComplete,9.236,4.618,2,../../packages/ui/components/image-uploader/BannerUploader.tsx:44:11,4.867
copyToClipboard,9.191,9.191,1,../../packages/features/users/components/UserTable/BulkActions/DynamicLink.tsx:33:21,9.191
handlePaymentSuccess,9.102,1.517,6,../../packages/app-store/paypal/api/webhook.ts:65:15,5.569
warn,9.027,1.505,6,../../packages/features/instant-meeting/handleInstantMeeting.ts:92:36,4.225
setIsGenerating,8.884,8.884,1,../../packages/features/mintlify-chat/MintlifyChat.tsx:42:7,8.884
Identifier: { bookingFields: { name: ,8.859,8.859,1,../../packages/features/bookings/Booker/utils/event.ts:41:9,8.859
values,8.850,0.805,11,../../packages/features/tasker/tasks/triggerFormSubmittedNoEvent/triggerFormSubmittedNoEventWebhook.ts:88:13,2.528
setIsPending,8.816,8.816,1,components/setup/StepDone.tsx:15:11,8.816
findByIdIncludeHostsAndTeam,8.749,4.375,2,../../packages/trpc/server/routers/viewer/routing-forms/findTeamMembersMatchingAttributeLogicOfRoute.handler.ts:177:26,8.551
