Function Name,Self (ms),Duration (ms),Location
mockImplementation,50.511,50.511,lib/getTemporaryOrgRedirect.test.ts:30:6
list,48.251,140.891,../../packages/trpc/server/routers/loggedInViewer/updateProfile.handler.ts:38:36
pick,48.204,48.204,../../packages/features/ee/users/server/trpc-router.ts:17:23
Identifier: { name: string; theme: st,47.550,47.550,../../packages/trpc/server/routers/viewer/organizations/publish.handler.ts:67:6
findFirst,47.480,92.288,../../packages/trpc/server/routers/viewer/workflows/activateEventType.handler.ts:25:40
map,47.362,47.362,../../packages/features/ee/managed-event-types/lib/handleChildrenEventTypes.ts:143:29
createElement,47.101,54.095,../../packages/ui/components/badge/Badge.tsx:95:9
update,46.799,46.799,../../packages/features/ee/billing/teams/internal-team-billing.ts:98:12
ensureAvailableUsers,46.617,46.617,../../packages/trpc/server/routers/viewer/teams/roundRobin/getRoundRobinHostsToReasign.handler.ts:133:27
createElement,45.659,45.659,../../packages/ui/components/list/List.tsx:123:15
classNames,45.630,45.630,../../packages/ui/components/skeleton/Skeleton.tsx:56:15
extend,45.319,75.428,../../node_modules/@calcom/trpc/server/routers/viewer/eventTypes/types.ts:47:33
createElement,44.490,57.622,../../packages/ui/components/button/Button.tsx:245:18
pick,43.098,43.098,../../packages/features/ee/managed-event-types/lib/handleChildrenEventTypes.ts:133:34
router,41.275,657.878,../../packages/trpc/server/routers/loggedInViewer/_router.tsx:75:44
ensureAvailableUsers,40.580,142.498,../../packages/features/ee/round-robin/roundRobinReassignment.ts:126:31
Identifier: GetUserAvailabilityInitia,40.168,52.058,../../packages/core/getUserAvailability.ts:309:36
t,40.089,202.144,../../packages/platform/atoms/availability/AvailabilitySettings.tsx:349:17
union,39.844,43.513,../../packages/lib/event-types/transformers/internal/locations.ts:47:8
onTimeSelect,39.509,40.233,../../packages/features/bookings/components/AvailableTimes.tsx:163:13
getSubLogger,39.155,89.282,../../packages/features/ee/round-robin/roundRobinReassignment.ts:41:38
useEffect,38.207,38.207,../../packages/features/bookings/Booker/config.ts:172:28
union,38.129,49.455,../../packages/lib/raqb/zod.ts:11:27
findUniqueOrThrow,36.990,57.866,../../packages/features/bookings/lib/handleNewBooking/getEventTypesFromDB.ts:19:12
use,36.381,36.381,../../packages/trpc/server/procedures/publicProcedure.ts:5:24
setValue,36.045,36.045,../../packages/features/eventtypes/components/tabs/limits/EventLimitsTab.tsx:954:64
setInfiniteData,35.506,37.174,../../packages/features/users/components/UserTable/BulkActions/DeleteBulkUsers.tsx:19:45
update,35.460,37.298,../../packages/trpc/server/routers/loggedInViewer/updateProfile.handler.ts:240:24
findUniqueOrThrow,35.342,60.798,../../packages/trpc/server/routers/viewer/bookings/confirm.handler.ts:43:30
pick,35.305,35.305,../../packages/features/ee/managed-event-types/lib/handleChildrenEventTypes.ts:121:38
update,35.285,66.876,../../packages/trpc/server/routers/loggedInViewer/connectAndJoin.handler.ts:88:11
router,34.923,205.854,../../packages/trpc/server/routers/viewer/teams/_router.tsx:38:41
zodResolver,34.897,42.594,../../packages/features/bookings/Booker/components/hooks/useBookingForm.ts:82:14
toString,34.861,172.555,components/schemas/EventReservationSchema.tsx:47:11
array,34.802,55.106,../../packages/app-store/dailyvideo/zod.ts:33:17
findUnique,34.675,48.941,../../packages/app-store/routing-forms/trpc/formMutation.handler.ts:27:35
pick,34.434,34.434,../../packages/lib/server/queries/teams/index.ts:449:42
startOf,33.920,155.933,../../packages/trpc/server/routers/loggedInViewer/outOfOffice.handler.ts:27:41
setShowTextInput,33.430,33.511,../../packages/features/ee/dsync/components/GroupNameCell.tsx:89:29
map,32.885,32.885,test/utils/bookingScenario/bookingScenario.ts:783:82
all,32.724,32.958,../../packages/lib/service/attribute/server/getAttributes.ts:219:74
map,32.699,626.184,../../packages/lib/server/queries/teams/index.ts:441:32
update,32.592,32.592,../../packages/features/ee/managed-event-types/lib/handleChildrenEventTypes.ts:263:19
split,32.469,40.922,../../packages/features/calendars/DestinationCalendarSelector.tsx:134:7
all,32.424,80.613,../../node_modules/@calcom/trpc/server/routers/viewer/slots/util.ts:1001:67
classNames,32.403,32.403,../../packages/ui/components/form/inputs/Label.tsx:5:11
map,32.343,42.330,../../packages/lib/event-types/transformers/internal-to-api/booking-fields.ts:31:36
omit,31.901,31.901,../../packages/features/ee/managed-event-types/lib/handleChildrenEventTypes.ts:122:33
all,31.773,31.773,../../packages/trpc/server/routers/viewer/eventTypes/getTeamAndEventTypeOptions.handler.ts:56:56
extend,31.710,31.710,../../packages/prisma/zod/credential.ts:39:77
split,31.342,31.342,../../packages/platform/atoms/destination-calendar/DestinationCalendarSelector.tsx:89:7
map,31.089,31.089,../../packages/trpc/server/routers/viewer/bookings/get.handler.ts:407:23
pick,30.997,31.779,../../packages/trpc/server/routers/viewer/eventTypes/types.ts:76:11
map,30.958,30.958,modules/signup-view.tsx:681:19
update,30.743,30.743,../../packages/lib/server/repository/user.ts:568:12
all,30.602,40.945,../../packages/features/bookings/lib/handleSeats/cancel/cancelAttendeeSeat.ts:55:8
router,30.560,1253.842,../../packages/trpc/server/routers/viewer/teams/_router.tsx:38:41
onChange,30.098,33.752,../../packages/app-store/routing-forms/pages/form-edit/[...appPages].tsx:236:25
t,30.033,30.033,../../packages/features/form-builder/FormBuilderField.tsx:144:11
getAllColumns,29.901,29.901,../../packages/features/data-table/hooks/useFilterableColumns.ts:13:10
read,29.588,29.588,../../packages/lib/server/resizeBase64Image.ts:24:22
all,29.507,77.352,../../packages/trpc/server/routers/viewer/slots/util.ts:1001:67
createElement,29.340,29.340,../../packages/ui/components/list/List.tsx:139:15
router,29.304,164.843,../../packages/trpc/server/routers/loggedInViewer/_router.tsx:75:44
extend,29.288,258.992,../../packages/trpc/server/routers/viewer/eventTypes/types.ts:78:34
t,29.181,29.181,../../packages/ui/components/badge/UpgradeOrgsBadge.tsx:11:7
create,29.044,48.458,../../packages/lib/server/repository/eventType.ts:125:17
debug,28.998,55.432,../../packages/features/auth/lib/next-auth-options.ts:718:7
toLocaleLowerCase,28.965,46.170,../../packages/features/ee/workflows/lib/reminders/emailReminderManager.ts:59:37
Identifier: { children: ReactNode; },28.654,28.654,../../packages/emails/src/components/BaseEmailHtml.tsx:15:5
toLocaleLowerCase,28.468,53.413,../../packages/features/ee/workflows/lib/reminders/smsReminderManager.ts:79:35
create,28.210,79.269,../../packages/lib/server/repository/user.ts:597:12
findUnique,27.407,42.034,../../packages/lib/server/repository/eventType.ts:781:14
router,27.255,558.875,../../packages/trpc/server/routers/viewer/organizations/_router.tsx:34:49
allSettled,27.168,59.976,../../packages/features/tasker/tasks/triggerNoShow/triggerHostNoShow.ts:9:10
Identifier: any,27.007,27.007,../../packages/emails/src/components/RawHtml.tsx:2:37
superRefine,27.005,28.383,../../packages/features/bookings/lib/getBookingResponsesSchema.ts:123:24
extend,26.709,33.500,../../node_modules/@calcom/trpc/server/routers/viewer/eventTypes/types.ts:47:33
defineExtension,26.611,31.387,../../packages/prisma/extensions/disallow-undefined-delete-update-many.ts:30:18
findMany,26.511,26.511,../../packages/lib/server/repository/selectedCalendar.ts:193:17
middleware,26.300,34.359,../../packages/trpc/server/middlewares/sessionMiddleware.ts:135:26
Identifier: any,26.180,26.180,../../packages/ui/components/arrow-button/ArrowButton.tsx:11:41
classNames,26.076,26.076,../../packages/features/form/components/Select.tsx:86:11
map,25.635,25.635,../../packages/ui/components/avatar/AvatarGroup.tsx:32:45
getProfileFromEvent,25.614,37.861,../../packages/features/eventtypes/lib/getPublicEvent.ts:485:13
anonymous,25.531,25.531,../../packages/features/form-builder/Components.tsx:494:21
getSubLogger,25.321,48.298,../../packages/features/ee/round-robin/roundRobinManualReassignment.ts:45:44
forwardRef,25.313,31.723,../../packages/app-store/routing-forms/components/FormActions.tsx:444:8
router,25.187,335.837,../../packages/features/insights/server/trpc-router.ts:296:38
create,25.170,25.170,../../packages/features/bookings/lib/handleNewBooking/createBooking.ts:180:26
"StringLiteral: ""Person""",25.095,25.095,components/schemas/EventReservationSchema.tsx:60:16
all,24.994,24.994,../../packages/app-store/paypal/api/capture.ts:75:12
setAppData,24.962,24.962,../../packages/app-store/insihts/components/EventTypeAppCardInterface.tsx:22:7
findFirst,24.864,28.922,../../packages/trpc/server/routers/viewer/bookings/addGuests.handler.ts:22:32
extend,24.662,24.662,../../packages/prisma/zod/bookingreference.ts:31:89
extend,24.588,24.588,../../packages/prisma/zod/workspaceplatform.ts:31:91
classNames,24.452,24.452,../../packages/ui/components/table/Table.tsx:17:84
Identifier: number,24.267,24.267,../../packages/features/bookings/components/AvailableTimes.tsx:164:47
allSettled,24.258,43.582,../../packages/trpc/server/routers/loggedInViewer/getUserTopBanners.handler.ts:50:12
create,24.144,33.877,../../packages/lib/server/repository/user.ts:603:18
create,23.967,229.683,playwright/fixtures/users.ts:267:12
filter,23.916,23.916,../../packages/lib/event-types/getEventTypesByViewer.ts:227:23
router,23.771,339.451,../../packages/trpc/server/routers/viewer/organizations/_router.tsx:34:49
classNames,23.659,23.659,../../packages/ui/components/avatar/UserAvatar.tsx:44:11
Identifier: StateManagedSelect,23.658,27.795,../../packages/ui/form/Select.tsx:71:11
forwardRef,23.512,23.512,../../packages/platform/atoms/src/components/ui/toast.tsx:41:14
assign,23.182,76.020,../../packages/lib/event-types/getEventTypeById.ts:201:44
getBookingData,23.045,115.303,../../packages/features/bookings/lib/handleNewBooking.ts:375:28
debug,22.998,51.502,../../packages/trpc/server/routers/viewer/bookings/requestReschedule.handler.ts:42:40
extend,22.924,23.367,../../packages/prisma/zod/organizationsettings.ts:29:97
map,22.787,27.363,lib/apps/installation/[[...step]]/getServerSideProps.ts:131:14
editLocation,22.758,22.758,../../packages/trpc/server/routers/viewer/bookings/_router.tsx:74:11
router,22.745,157.423,../../packages/trpc/server/routers/viewer/workflows/_router.tsx:36:39
extend,22.722,22.722,../../packages/prisma/zod/host.ts:27:65
useReactTable,22.589,22.589,../../packages/features/timezone-buddy/components/AvailabilitySliderTable.tsx:216:16
all,22.588,35.985,../../packages/features/insights/server/routing-events.ts:343:46
object,22.393,22.393,pages/api/plain/components.ts:47:29
Identifier: any,22.349,22.349,../../packages/app-store/routing-forms/components/react-awesome-query-builder/widgets.tsx:230:13
pick,22.321,22.321,../../packages/lib/server/queries/teams/index.ts:436:38
extend,22.304,54.545,../../packages/trpc/server/routers/viewer/eventTypes/types.ts:47:33
extend,22.228,22.228,../../packages/prisma/zod/workflowstep.ts:31:81
keyof,22.051,22.051,../../packages/trpc/server/routers/viewer/apps/listLocal.handler.ts:72:21
Identifier: any,22.045,22.045,../../packages/ui/components/divider/Divider.tsx:10:11
accessor,22.002,29.651,../../packages/features/insights/hooks/useInsightsColumns.tsx:40:13
all,21.982,31.933,../../packages/trpc/server/routers/viewer/organizations/getFacetedValues.handler.ts:22:36
t,21.734,21.734,../../packages/features/ee/organizations/pages/settings/other-team-profile-view.tsx:197:23
router,21.691,395.409,../../packages/trpc/server/routers/viewer/eventTypes/_router.ts:34:40
omit,21.676,21.676,../../packages/lib/server/queries/teams/index.ts:444:41
Identifier: UserFindUniqueArgs<Intern,21.646,21.859,../../packages/prisma/extensions/exclude-locked-users.ts:44:4
map,21.617,21.617,../../packages/features/schedules/components/Schedule.tsx:277:8
Identifier: any,21.475,21.475,../../packages/ui/components/table/Table.tsx:46:5
Identifier: any,21.445,21.445,../../packages/emails/src/components/BookingConfirmationForm.tsx:2:11
Identifier: any,21.417,22.452,../../packages/emails/src/components/EmailHead.tsx:13:7
$transaction,21.350,74.347,../../packages/features/credentials/handleDeleteCredential.ts:190:35
register,21.284,21.284,../../packages/features/settings/ThemeLabel.tsx:18:7
all,21.187,60.356,../../packages/features/insights/server/trpc-router.ts:348:14
Identifier: any,21.140,21.140,../../packages/emails/src/components/EmailHead.tsx:11:7
extend,21.048,21.048,../../packages/prisma/zod/outofofficeentry.ts:29:89
extend,20.991,20.991,../../packages/prisma/zod/app_routingforms_form.ts:40:99
Identifier: Omit<EmbedButtonProps<T> ,20.908,20.908,../../packages/features/embed/Embed.tsx:1417:15
push,20.895,20.895,../../packages/trpc/server/routers/viewer/eventTypes/getEventTypesFromGroup.handler.ts:142:17
defineExtension,20.753,35.564,../../packages/prisma/extensions/booking-idempotency-key.ts:7:9
parse,20.729,77.225,../../packages/core/getUserAvailability.ts:271:29
extend,20.678,20.678,../../packages/prisma/zod/platformoauthclient.ts:35:95
classNames,20.671,22.175,../../packages/ui/components/table/Table.tsx:34:77
getByText,20.604,20.604,components/dialog/__tests__/EditLocationDialog.test.tsx:179:12
all,20.501,20.501,../../packages/trpc/server/routers/viewer/bookings/get.handler.ts:331:12
object,20.421,245.205,../../packages/app-store/eventTypeAppCardZod.ts:4:35
extend,20.414,20.414,../../packages/prisma/zod/eventtypetranslation.ts:30:97
findUnique,20.361,22.244,../../packages/core/getUserAvailability.ts:62:12
extend,20.228,20.228,../../packages/prisma/zod/webhook.ts:38:71
map,20.207,20.207,../../packages/ui/components/form/step/Stepper.tsx:26:11
extend,20.176,20.176,../../packages/prisma/zod/destinationcalendar.ts:29:95
all,20.138,74.708,../../packages/lib/server/getLuckyUser.ts:581:12
findMany,20.125,27.447,../../packages/features/ee/workflows/lib/getAllWorkflows.ts:29:31
lazy,20.012,164.415,../../packages/prisma/zod/user.ts:114:13
object,19.979,19.979,../../packages/app-store/dailyvideo/zod.ts:33:26
findUniqueOrThrow,19.956,24.840,../../packages/features/bookings/lib/handleCancelBooking.ts:78:16
Identifier: { owner: ({ name: string ,19.746,64.077,../../packages/features/eventtypes/lib/getPublicEvent.ts:474:8
Identifier: any,19.680,19.680,../../packages/emails/src/components/BookingConfirmationForm.tsx:41:9
findUnique,19.611,43.855,../../packages/trpc/server/routers/viewer/eventTypes/duplicate.handler.ts:20:32
forwardRef,19.552,19.552,../../packages/ui/components/alert/Alert.tsx:37:11
router,19.508,6900.095,../../packages/trpc/server/routers/viewer/_router.tsx:35:24
attendeeRescheduleSeatedBooking,19.419,30.818,../../packages/features/bookings/lib/handleSeats/reschedule/rescheduleSeatedBooking.ts:132:26
forwardRef,19.281,19.281,../../packages/platform/atoms/src/components/ui/toast.tsx:81:19
Identifier: any,19.201,19.201,pages/_document.tsx:106:11
findUnique,19.114,19.114,../../packages/lib/server/username.ts:174:11
"Identifier: ({ clientId, accessToken,",19.095,30.937,../../packages/platform/atoms/cal-provider/CalProvider.tsx:130:7
Identifier: (<Props extends {}>(Compo,19.084,19.084,../../packages/features/bookings/components/AvailableTimes.tsx:164:16
object,19.070,19.070,../../packages/features/data-table/lib/types.ts:33:40
