Function Name,Total Self (ms),Avg Self (ms),Call Count,Top Location,Top Self (ms)
flexRender,3.127,1.564,2,components/DataTable.tsx:103:24,2.539
every,3.015,3.015,1,utils/route.ts:4:71,3.015
getDateQuery,2.872,1.436,2,../server/model/website/index.ts:374:9,2.114
buildCursorResponseSchema,2.695,2.695,1,../server/trpc/routers/website.ts:651:13,2.695
Nodemailer,2.642,1.321,2,../server/model/auth.ts:63:27,2.437
Identifier: ForwardRefExoticComponent,2.608,2.608,1,routes/monitor/$monitorId/index.tsx:97:7,2.608
castToNumber,2.514,1.257,2,../server/model/website/insights.ts:153:13,2.363
zodResolver,2.492,1.246,2,components/feed/FeedChannelEditForm.tsx:49:16,1.297
findUniqueOrThrow,2.408,2.408,1,../server/trpc/routers/workspace.ts:260:25,2.408
Identifier: ForwardRefExoticComponent,2.372,2.372,1,routes/telemetry/$telemetryId.tsx:117:21,2.372
Identifier: typeof VirtualizedInfinit,2.345,2.345,1,routes/survey/$surveyId/index.tsx:252:16,2.345
forEach,2.230,0.743,3,components/monitor/CustomizedErrorArea.tsx:7:45,1.547
getOpenAIClient,2.215,0.554,4,../server/trpc/routers/ai.ts:74:27,1.211
buildQueryWithCache,2.214,0.369,6,../server/model/billing/workspace.ts:51:68,1.173
partial,2.166,0.722,3,../server/trpc/routers/website.ts:178:16,1.205
log,2.148,0.716,3,routes/playground.tsx:55:11,1.974
emit,2.138,0.713,3,../server/model/feed/event.ts:46:6,1.749
sortBy,2.090,1.045,2,components/survey/SurveyCategoryChart.tsx:33:31,1.904
aggregate,2.086,0.298,7,../server/model/workspace.ts:55:20,0.834
Identifier: any,2.053,1.026,2,../server/utils/sandbox.ts:26:11,1.994
Identifier: Context<FormFieldContextV,2.031,2.031,1,components/ui/form.tsx:36:11,2.031
createCheckout,1.932,0.242,8,../server/model/billing/index.ts:100:25,0.602
getWorkspaceWebsiteStats,1.826,0.609,3,../server/trpc/routers/website.ts:227:22,1.138
onChange,1.824,0.456,4,components/monitor/StatusPage/ServiceList.tsx:34:22,1.191
Identifier: DropdownSelectProps<T>,1.781,1.781,1,components/insights/DropdownSelect.tsx:48:13,1.781
endsWith,1.779,1.779,1,../server/model/auth.ts:104:13,1.779
getCsrfToken,1.753,0.584,3,api/authjs/lib.tsx:167:10,1.474
Identifier: CardInterface,1.726,1.726,1,routes/telemetry/$telemetryId.tsx:167:11,1.726
createMany,1.709,0.854,2,../server/model/website/index.ts:266:8,1.546
toAdapterUser,1.704,0.284,6,../server/model/auth.ts:56:15,0.755
Identifier: OpenAI,1.699,1.699,1,../server/model/openai.ts:22:11,1.699
caching,1.681,0.841,2,../server/cache/index.ts:10:29,1.563
toISOString,1.667,1.667,1,../server/utils/prisma.ts:73:12,1.667
Identifier: ForwardRefExoticComponent,1.644,1.644,1,components/DataTable.tsx:167:15,1.644
axios,1.615,0.538,3,../server/model/monitor/provider/http.ts:88:24,1.418
then,1.583,0.791,2,components/website/WebsiteVisitorMap/index.tsx:9:6,1.448
