Function Name,Total Self (ms),Avg Self (ms),Call Count,Top Location,Top Self (ms)
cancel,9.819,4.910,2,src/components/poll/desktop-poll/participant-row-form.tsx:56:11,6.934
mutate,9.794,3.265,3,src/components/poll/manage-poll.tsx:69:13,4.868
useForm,9.628,1.203,8,src/components/settings/date-time-preferences.tsx:33:15,7.274
delete,9.327,3.109,3,tests/next-auth-migration.spec.ts:21:10,6.395
all,9.254,1.322,7,src/auth/helpers/merge-user.ts:11:25,3.880
toast,9.241,1.540,6,src/app/[locale]/(admin)/settings/profile/profile-picture.tsx:34:13,4.361
send,9.194,3.065,3,src/app/api/storage/[...key]/route.ts:20:25,8.622
Identifier: ReactNode,8.869,2.217,4,src/components/settings/settings.tsx:19:7,3.478
upsert,8.668,4.334,2,src/app/api/stripe/webhook/handlers/utils.ts:57:8,7.859
Identifier: typeof PrismaClient,8.639,8.639,1,../../packages/database/index.ts:6:9,8.639
string,8.381,2.095,4,src/components/new-participant-modal.tsx:30:9,8.159
Identifier: PlaywrightTestConfig,8.233,8.233,1,playwright.config.ts:14:6,8.233
toString,7.867,1.573,5,src/app/[locale]/(admin)/events/user-scheduled-events.tsx:18:11,3.341
Identifier: { email: string; name: st,7.822,2.607,3,src/app/api/stripe/checkout/route.ts:76:7,3.892
useEffect,7.768,1.110,7,src/app/[locale]/(admin)/settings/profile/profile-email-address.tsx:47:19,3.265
count,7.681,0.512,15,src/auth/helpers/is-email-blocked.ts:80:27,1.504
requiredString,7.274,2.425,3,src/components/participant-dropdown.tsx:248:13,3.704
useReactTable,7.095,2.365,3,src/app/[locale]/(admin)/events/event-list.tsx:13:16,6.633
useCallback,6.973,1.743,4,src/components/forms/poll-options-form/month-calendar/time-picker.tsx:28:40,3.842
Identifier: Omit<DetailedHTMLProps<Ta,6.883,3.441,2,../../packages/emails/src/components/styled-components.tsx:142:13,4.582
join,6.594,1.649,4,src/components/poll/manage-poll/use-csv-exporter.ts:15:17,6.257
ThisKeyword: this,6.571,6.571,1,../../packages/emails/src/send-email.tsx:194:11,6.571
Identifier: Devices,6.495,2.165,3,playwright.config.ts:17:38,4.614
getEmailClient,6.433,2.144,3,src/trpc/routers/polls.ts:740:47,3.073
createClient,6.348,6.348,1,src/trpc/client/provider.tsx:71:8,6.348
union,6.341,3.170,2,src/components/new-participant-modal.tsx:33:15,5.957
fetchRequestHandler,6.071,2.024,3,src/app/api/trpc/[trpc]/route.ts:17:9,5.757
getValues,5.864,2.932,2,src/components/forms/poll-options-form/poll-options-form.tsx:79:18,5.624
push,5.767,1.922,3,next.config.js:16:19,2.705
forEach,5.469,1.823,3,src/components/forms/poll-options-form/month-calendar/month-calendar.tsx:66:21,4.755
onChange,5.187,1.297,4,src/components/forms/poll-options-form/poll-options-form.tsx:226:17,2.411
Identifier: { prismaGlobal: PrismaCli,5.186,5.186,1,../../packages/database/index.ts:15:15,5.186
Identifier: FC<Readonly<Omit<Detailed,5.055,5.055,1,../../packages/emails/src/components/styled-components.tsx:119:11,5.055
hkdf,5.033,2.517,2,src/auth/legacy/helpers/jwt.ts:27:15,4.877
findUniqueOrThrow,5.010,5.010,1,src/trpc/routers/polls/participants.ts:296:15,5.010
createElement,4.924,1.231,4,src/components/add-to-calendar-button.tsx:115:20,1.824
Identifier: string | 3002,4.909,1.636,3,playwright.config.ts:11:16,3.746
Boolean,4.789,4.789,1,src/components/poll/desktop-poll.tsx:141:9,4.789
error,4.768,4.768,1,src/auth/edge/with-auth.ts:17:9,4.768
createEvent,4.735,0.789,6,src/trpc/routers/polls.ts:630:20,1.942
Identifier: FC<Readonly<Omit<Detailed,4.713,2.356,2,../../packages/emails/src/components/email-layout.tsx:43:11,3.278
findFirst,4.620,1.155,4,src/app/api/notifications/unsubscribe/route.ts:29:24,2.253
Identifier: ForwardRefExoticComponent,4.592,1.531,3,src/features/quick-create/quick-create-button.tsx:13:7,3.515
Identifier: { title: string; id: stri,4.252,4.252,1,src/features/quick-create/lib/get-guest-polls.ts:30:9,4.252
reduce,4.153,0.593,7,src/trpc/routers/polls.ts:59:11,2.476
"Identifier: ({ href, children, target",4.126,2.063,2,src/app/[locale]/(admin)/sidebar.tsx:152:13,3.712
Identifier: ({ start }: { start: Date,4.109,4.109,1,src/components/poll/scheduled-event.tsx:90:13,4.109
Identifier: ComponentType<{ className,4.062,4.062,1,../../packages/ui/src/dropdown-menu.tsx:226:7,4.062
array,4.030,4.030,1,src/components/poll/voting-form.tsx:26:9,4.030
entries,3.990,0.798,5,src/components/modal/modal-provider.tsx:68:8,2.009
Identifier: FC<Readonly<Omit<Detailed,3.925,3.925,1,../../packages/emails/src/components/styled-components.tsx:68:11,3.925
Identifier: TemplateComponent<T>,3.720,3.720,1,../../packages/emails/src/send-email.tsx:98:24,3.720
"Identifier: ({ size, className, src, ",3.645,3.645,1,src/app/[locale]/(admin)/sidebar.tsx:171:19,3.645
Identifier: ForwardRefExoticComponent,3.587,1.794,2,src/components/poll/truncated-linkify.tsx:30:9,3.291
addEventListener,3.477,3.477,1,src/components/poll/desktop-poll/participant-row-form.tsx:47:6,3.477
literal,3.449,3.449,1,src/components/new-participant-modal.tsx:22:16,3.449
withPosthog,3.312,1.656,2,src/app/api/stripe/webhook/route.ts:10:33,3.090
import,3.294,3.294,1,src/utils/dayjs.tsx:203:5,3.294
generateGradient,3.172,3.172,1,src/components/random-gradient-bar.tsx:4:11,3.172
createPortal,3.097,3.097,1,src/components/cookie-consent.tsx:18:23,3.097
"Identifier: { ""12h"": string; ""24h"": s",3.094,3.094,1,declarations/i18next.d.ts:12:18,3.094
Identifier: <TFieldValues extends Fie,3.071,3.071,1,../../packages/ui/src/form.tsx:31:7,3.071
newParticipant,3.033,1.516,2,src/components/poll/desktop-poll.tsx:233:7,2.441
Identifier: ForwardRefExoticComponent,2.994,0.998,3,src/app/[locale]/(admin)/settings/profile/profile-settings.tsx:60:19,2.320
fetch,2.955,0.739,4,src/app/[locale]/invite/[urlId]/page.tsx:19:10,1.550
Identifier: typeof Error,2.944,2.944,1,src/global-error.tsx:23:9,2.944
getSubject,2.912,1.456,2,../../packages/emails/src/send-email.tsx:97:20,2.370
Identifier: (props: Omit<DetailedHTML,2.876,0.959,3,../../packages/emails/src/components/styled-components.tsx:41:9,2.427
getOptions,2.708,2.708,1,src/components/forms/poll-options-form/month-calendar/time-picker.tsx:71:18,2.708
Identifier: Context<{ participants: (,2.706,2.706,1,src/components/participants-provider.tsx:45:11,2.706
Identifier: { width: number; height: ,2.655,2.655,1,playwright.config.ts:18:7,2.655
createServerSideHelpers,2.640,2.640,1,src/trpc/server/create-ssr-helper.ts:32:31,2.640
Identifier: ForwardRefExoticComponent,2.490,2.490,1,src/components/optimized-avatar-image.tsx:33:63,2.490
Identifier: (props: Omit<DetailedHTML,2.453,1.226,2,../../packages/emails/src/components/styled-components.tsx:141:11,2.292
Identifier: ForwardRefExoticComponent,2.332,2.332,1,src/components/forms/poll-options-form/poll-options-form.tsx:120:21,2.332
updatePreferences,2.269,2.269,1,src/components/clock.tsx:28:11,2.269
"Identifier: ""cancel""",2.269,2.269,1,src/components/poll/manage-poll/finalize-poll-dialog.tsx:244:21,2.269
Identifier: UseFormReturn<PollSetting,2.259,1.129,2,src/components/forms/poll-settings.tsx:96:24,2.151
"StringLiteral: ""Pro""",2.234,2.234,1,public/locales/en/app.json:131:13,2.234
Identifier: (props: SessionProviderPr,2.114,2.114,1,src/app/[locale]/layout.tsx:35:7,2.114
queueTemplate,2.087,0.417,5,src/trpc/routers/polls.ts:246:19,0.729
Identifier: EventWrapperProps<Event>,2.063,1.032,2,src/components/forms/poll-options-form/week-calendar.tsx:106:32,1.720
Identifier: { delay: number; duration,1.968,1.968,1,src/components/pay-wall-dialog.tsx:38:19,1.968
createTRPCReact,1.931,1.931,1,src/trpc/client.ts:5:20,1.931
Identifier: ForwardRefExoticComponent,1.888,1.888,1,../../packages/ui/src/command.tsx:33:9,1.888
Identifier: <TFieldValues extends Fie,1.853,0.926,2,src/components/settings/language-preference.tsx:38:9,1.842
useVisibilityTrigger,1.828,0.914,2,src/components/visibility-trigger.tsx:44:21,1.711
setIsWriting,1.789,0.358,5,src/components/discussion/discussion.tsx:268:25,0.847
render,1.765,0.882,2,src/app/[locale]/poll/[urlId]/edit-options/page.tsx:124:33,1.501
Identifier: MapConstructor,1.642,1.642,1,../../packages/ui/src/hooks/use-toast.ts:54:22,1.642
Identifier: ForwardRefExoticComponent,1.591,0.795,2,src/components/add-to-calendar-button.tsx:96:11,1.234
zodResolver,1.575,0.788,2,src/components/new-participant-modal.tsx:99:16,0.891
"Identifier: ({ size, }: { size?: ""sm""",1.572,1.572,1,src/components/layouts/poll-layout.tsx:69:11,1.572
Identifier: typeof NextResponse,1.527,1.527,1,src/app/api/storage/[...key]/route.ts:47:11,1.527
setProtectedHeader,1.524,0.139,11,tests/helpers/next-auth-v4.ts:30:15,0.317
migrateData,1.459,0.486,3,src/auth/adapters/prisma.ts:22:17,0.790
setData,1.455,1.455,1,src/components/poll/notifications-toggle.tsx:61:10,1.455
locale,1.414,1.414,1,src/utils/dayjs.tsx:242:66,1.414
open,1.371,0.343,4,src/components/add-to-calendar-button.tsx:62:9,0.624
next,1.350,1.350,1,src/trpc/trpc.ts:77:9,1.350
redirect,1.340,0.223,6,src/app/api/notifications/unsubscribe/route.ts:56:51,0.672
captureMessage,1.302,0.651,2,src/app/[locale]/(admin)/settings/profile/profile-picture.tsx:61:10,0.676
"Identifier: ({ brand, last4 }: { bran",1.266,1.266,1,src/app/[locale]/(admin)/settings/billing/components/payment-method.tsx:55:13,1.266
signIn,1.205,0.172,7,src/app/[locale]/(auth)/login/components/login-email-form.tsx:54:34,0.355
useMemo,1.194,0.398,3,src/components/forms/poll-options-form/poll-options-form.tsx:69:8,1.052
Identifier: ForwardRefExoticComponent,1.168,0.584,2,src/components/settings/date-time-preferences.tsx:62:19,1.166
Identifier: { slot?: string | undefin,1.148,1.148,1,../../packages/emails/src/components/styled-components.tsx:25:18,1.148
json,1.136,0.189,6,src/app/api/stripe/webhook/route.ts:40:13,0.333
Identifier: (props: PropsWithChildren,1.131,0.565,2,src/components/layouts/poll-layout.tsx:90:13,1.015
toFixed,1.130,1.130,1,src/components/pay-wall-dialog.tsx:91:11,1.130
Identifier: ({ children }: { children,1.119,1.119,1,src/app/[locale]/(admin)/events/past-events.tsx:27:9,1.119
normalizeTimeZone,1.079,1.079,1,src/utils/date-time-utils.ts:23:9,1.079
pick,1.078,0.539,2,src/app/guest.ts:11:27,0.916
prismaClientSingleton,1.063,0.531,2,../../packages/database/index.ts:15:15,0.922
useHeadlessDatePicker,0.992,0.331,3,src/components/forms/poll-options-form/month-calendar/month-calendar.tsx:88:44,0.447
preventDefault,0.966,0.966,1,src/components/upgrade-button.tsx:28:7,0.966
sendMail,0.952,0.238,4,../../packages/emails/src/send-email.tsx:143:12,0.754
Identifier: (props: Readonly<Omit<Det,0.941,0.941,1,../../packages/emails/src/templates/abandoned-checkout.tsx:95:9,0.941
Identifier: (props: { title: ReactNod,0.896,0.448,2,src/app/[locale]/(admin)/settings/profile/profile-page.tsx:31:9,0.790
required,0.893,0.893,1,src/components/create-poll.tsx:104:23,0.893
Identifier: ({ locale: string | null;,0.884,0.884,1,src/components/poll/desktop-poll.tsx:254:17,0.884
dayjs,0.883,0.098,9,src/components/forms/poll-options-form/dayjs-localizer.ts:68:13,0.240
find,0.877,0.877,1,src/components/poll/voting-form.tsx:54:29,0.877
Identifier: ForwardRefExoticComponent,0.877,0.438,2,../../packages/ui/src/toast.tsx:99:4,0.661
Identifier: ForwardRefExoticComponent,0.864,0.432,2,src/components/poll/mobile-poll.tsx:82:15,0.850
updatePollMutation,0.857,0.428,2,src/app/[locale]/poll/[urlId]/edit-details/page.tsx:47:48,0.675
dispatch,0.851,0.426,2,../../packages/ui/src/hooks/use-toast.ts:143:42,0.760
Identifier: ForwardRefExoticComponent,0.821,0.821,1,src/components/clock.tsx:97:7,0.821
anonymous,0.820,0.820,1,src/instrumentation.ts:2:47,0.820
Identifier: { id: string; active: boo,0.793,0.793,1,src/app/[locale]/(admin)/settings/billing/page.tsx:131:15,0.793
createBreakpoint,0.758,0.758,1,src/components/poll/responsive-results.tsx:6:6,0.758
getFixedT,0.751,0.250,3,src/i18n/server.ts:11:7,0.561
memo,0.748,0.748,1,src/components/poll/score-summary.tsx:82:9,0.748
usePoll,0.739,0.369,2,src/components/poll/score-summary.tsx:19:5,0.611
Identifier: { children: ReactNode; },0.687,0.687,1,src/app/providers.tsx:20:13,0.687
logout,0.682,0.682,1,src/components/user-dropdown.tsx:61:7,0.682
Identifier: { letterSpacing: number; ,0.674,0.337,2,../../packages/emails/src/templates/register.tsx:44:18,0.573
